X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-2.905000e+01,5.000000e-02
0,6.40e-02,7.50e-01,
1,-2.80e-02,6.90e-01,
2,-2.00e-02,7.20e-01,
3,-9.20e-02,6.24e-01,
4,-8.80e-02,5.98e-01,
5,-4.00e-02,6.42e-01,
6,-4.60e-02,6.14e-01,
7,5.00e-02,6.80e-01,
8,4.40e-02,6.58e-01,
9,9.20e-02,7.14e-01,
10,9.20e-02,6.94e-01,
11,2.60e-02,7.42e-01,
12,3.60e-02,7.50e-01,
13,-6.00e-02,6.62e-01,
14,-5.20e-02,6.86e-01,
15,-9.60e-02,6.00e-01,
16,-8.20e-02,6.02e-01,
17,0.00e+00,6.58e-01,
18,-6.00e-03,6.36e-01,
19,8.20e-02,6.98e-01,
20,9.20e-02,6.72e-01,
21,6.40e-02,7.28e-01,
22,7.20e-02,7.02e-01,
23,-2.20e-02,7.48e-01,
24,-1.00e-02,7.18e-01,
25,-8.60e-02,6.18e-01,
26,-9.20e-02,6.54e-01,
27,-3.60e-02,5.96e-01,
28,-4.80e-02,6.16e-01,
29,5.20e-02,6.82e-01,
30,4.40e-02,6.58e-01,
31,9.40e-02,7.14e-01,
32,8.80e-02,6.88e-01,
33,1.60e-02,7.36e-01,
34,2.20e-02,7.48e-01,
35,-7.40e-02,6.54e-01,
36,-6.00e-02,6.78e-01,
37,-9.40e-02,5.96e-01,
38,-7.20e-02,6.08e-01,
39,2.60e-02,6.70e-01,
40,2.20e-02,6.46e-01,
41,9.00e-02,7.06e-01,
42,9.20e-02,6.80e-01,
43,3.80e-02,7.36e-01,
44,5.00e-02,7.46e-01,
45,-5.60e-02,6.64e-01,
46,-4.80e-02,6.86e-01,
47,-9.80e-02,5.98e-01,
48,-7.80e-02,5.94e-01,
49,6.00e-03,6.62e-01,
50,0.00e+00,6.38e-01,
51,8.60e-02,6.96e-01,
52,9.60e-02,6.72e-01,
53,5.20e-02,7.28e-01,
54,5.20e-02,7.50e-01,
55,-4.40e-02,6.88e-01,
56,-4.20e-02,7.08e-01,
57,-9.80e-02,6.00e-01,
58,-8.60e-02,5.96e-01,
